slurm-1431161.out:DATA,961.945,,,,,,,,,,
slurm-1431162.out:DATA,497.462,,,,Run1,Run2,Run3,Run4,Run5,Avg,Cores
slurm-1431163.out:DATA,292.21,,,1 Core,961.945,957.475,1003.309,1003.314,1003.37,985.8826,1
slurm-1431164.out:DATA,125.766,,,2 Core,497.462,491.174,493.318,500.388,501.937,496.8558,2
slurm-1431165.out:DATA,81.97,,,4 Core,292.21,250.93,249.426,251.353,291.434,267.0706,4
slurm-1431166.out:DATA,957.475,,,8 Core,125.766,125.764,160.275,125.799,161.533,139.8274,8
slurm-1431167.out:DATA,491.174,,,16 Core,81.97,71.503,63.518,75.668,65.729,71.6776,16
slurm-1431168.out:DATA,250.93,,,,,,,,,,
slurm-1431169.out:DATA,125.764,,,,,,,,,,
slurm-1431170.out:DATA,71.503,,,,,,,,,,
slurm-1431171.out:DATA,1003.309,,,,,,,,,,
slurm-1431172.out:DATA,493.318,,,,,,,,,,
slurm-1431173.out:DATA,249.426,,,,,,,,,,
slurm-1431174.out:DATA,160.275,,,,,,,,,,
slurm-1431175.out:DATA,63.518,,,,,,,,,,
slurm-1431176.out:DATA,1003.314,,,,,,,,,,
slurm-1431177.out:DATA,500.388,,,,,,,,,,
slurm-1431178.out:DATA,251.353,,,,,,,,,,
slurm-1431179.out:DATA,125.799,,,,,,,,,,
slurm-1431180.out:DATA,75.668,,,,,,,,,,
slurm-1431181.out:DATA,1003.37,,,,,,,,,,
slurm-1431182.out:DATA,501.937,,,,,,,,,,
slurm-1431183.out:DATA,291.434,,,,,,,,,,
slurm-1431184.out:DATA,161.533,,,,,,,,,,
slurm-1431186.out:DATA,65.729,,,,,,,,,,
