slurm-1431193.out:DATA,90.954,,,,,,,,,
slurm-1431194.out:DATA,46.029,,,,,,,,,
slurm-1431195.out:DATA,40.512,,,,,,,,AVG,Cores
slurm-1431196.out:DATA,25.688,,,90.954,90.167,92.719,97.946,100.805,94.5182,1
slurm-1431197.out:DATA,15.352,,,46.029,46.289,47.783,46.455,47.328,46.7768,2
slurm-1431198.out:DATA,90.167,,,40.512,37.329,24.529,24.534,24.48,30.2768,4
slurm-1431199.out:DATA,46.289,,,25.688,12.743,25.765,12.752,25.708,20.5312,8
slurm-1431200.out:DATA,37.329,,,15.352,10.084,15.358,15.386,10.818,13.3996,16
slurm-1431201.out:DATA,12.743,,,,,,,,,
slurm-1431202.out:DATA,10.084,,,,,,,,,
slurm-1431203.out:DATA,92.719,,,,,,,,,
slurm-1431204.out:DATA,47.783,,,,,,,,,
slurm-1431205.out:DATA,24.529,,,,,,,,,
slurm-1431206.out:DATA,25.765,,,,,,,,,
slurm-1431207.out:DATA,15.358,,,,,,,,,
slurm-1431208.out:DATA,97.946,,,,,,,,,
slurm-1431209.out:DATA,46.455,,,,,,,,,
slurm-1431210.out:DATA,24.534,,,,,,,,,
slurm-1431211.out:DATA,12.752,,,,,,,,,
slurm-1431212.out:DATA,15.386,,,,,,,,,
slurm-1431213.out:DATA,100.805,,,,,,,,,
slurm-1431214.out:DATA,47.328,,,,,,,,,
slurm-1431215.out:DATA,24.48,,,,,,,,,
slurm-1431216.out:DATA,25.708,,,,,,,,,
slurm-1431217.out:DATA,10.818,,,,,,,,,
