slurm-3473670.out:Memory, Processes, 2, Rank, 1, vMem, 4754944 KB, pMem, 3105484 KB
slurm-3473670.out:Memory, Processes, 2, Rank, 0, vMem, 4756264 KB, pMem, 3109760 KB
slurm-3473671.out:Memory, Processes, 4, Rank, 0, vMem, 2624140 KB, pMem, 2233692 KB
slurm-3473671.out:Memory, Processes, 4, Rank, 1, vMem, 2621900 KB, pMem, 2233460 KB
slurm-3473671.out:Memory, Processes, 4, Rank, 2, vMem, 2622436 KB, pMem, 2231936 KB
slurm-3473671.out:Memory, Processes, 4, Rank, 3, vMem, 2620264 KB, pMem, 2229788 KB
slurm-3473672.out:Memory, Processes, 8, Rank, 0, vMem, 1564812 KB, pMem, 1157944 KB
slurm-3473672.out:Memory, Processes, 8, Rank, 1, vMem, 1567360 KB, pMem, 1160496 KB
slurm-3473672.out:Memory, Processes, 8, Rank, 2, vMem, 1563904 KB, pMem, 1156988 KB
slurm-3473672.out:Memory, Processes, 8, Rank, 3, vMem, 1565896 KB, pMem, 1158960 KB
slurm-3473672.out:Memory, Processes, 8, Rank, 4, vMem, 1564968 KB, pMem, 1158136 KB
slurm-3473672.out:Memory, Processes, 8, Rank, 5, vMem, 1565904 KB, pMem, 1159000 KB
slurm-3473672.out:Memory, Processes, 8, Rank, 6, vMem, 1565068 KB, pMem, 1158168 KB
slurm-3473672.out:Memory, Processes, 8, Rank, 7, vMem, 1564452 KB, pMem, 1157536 KB
slurm-3473673.out:Memory, Processes, 2, Rank, 0, vMem, 4766516 KB, pMem, 2905056 KB
slurm-3473673.out:Memory, Processes, 2, Rank, 1, vMem, 4766284 KB, pMem, 2963072 KB
slurm-3473674.out:Memory, Processes, 4, Rank, 0, vMem, 2638176 KB, pMem, 2255860 KB
slurm-3473674.out:Memory, Processes, 4, Rank, 2, vMem, 2636608 KB, pMem, 2254156 KB
slurm-3473674.out:Memory, Processes, 4, Rank, 1, vMem, 2635688 KB, pMem, 2253256 KB
slurm-3473674.out:Memory, Processes, 4, Rank, 3, vMem, 2634604 KB, pMem, 2251948 KB
slurm-3473675.out:Memory, Processes, 8, Rank, 0, vMem, 1570304 KB, pMem, 1179708 KB
slurm-3473675.out:Memory, Processes, 8, Rank, 2, vMem, 1569592 KB, pMem, 1179012 KB
slurm-3473675.out:Memory, Processes, 8, Rank, 3, vMem, 1571432 KB, pMem, 1180820 KB
slurm-3473675.out:Memory, Processes, 8, Rank, 4, vMem, 1568332 KB, pMem, 1177688 KB
slurm-3473675.out:Memory, Processes, 8, Rank, 6, vMem, 1568676 KB, pMem, 1178084 KB
slurm-3473675.out:Memory, Processes, 8, Rank, 7, vMem, 1568304 KB, pMem, 1177656 KB
slurm-3473675.out:Memory, Processes, 8, Rank, 1, vMem, 1573176 KB, pMem, 1182544 KB
slurm-3473675.out:Memory, Processes, 8, Rank, 5, vMem, 1569728 KB, pMem, 1179160 KB
slurm-3473676.out:Memory, Processes, 16, Rank, 8, vMem, 1048148 KB, pMem, 641224 KB
slurm-3473676.out:Memory, Processes, 16, Rank, 10, vMem, 1049220 KB, pMem, 642288 KB
slurm-3473676.out:Memory, Processes, 16, Rank, 14, vMem, 1047408 KB, pMem, 640412 KB
slurm-3473676.out:Memory, Processes, 16, Rank, 0, vMem, 1046708 KB, pMem, 639784 KB
slurm-3473676.out:Memory, Processes, 16, Rank, 2, vMem, 1048312 KB, pMem, 641308 KB
slurm-3473676.out:Memory, Processes, 16, Rank, 3, vMem, 1049572 KB, pMem, 642636 KB
slurm-3473676.out:Memory, Processes, 16, Rank, 5, vMem, 1047408 KB, pMem, 640396 KB
slurm-3473676.out:Memory, Processes, 16, Rank, 6, vMem, 1049532 KB, pMem, 642608 KB
slurm-3473676.out:Memory, Processes, 16, Rank, 4, vMem, 1047496 KB, pMem, 640528 KB
slurm-3473676.out:Memory, Processes, 16, Rank, 7, vMem, 1047248 KB, pMem, 640316 KB
slurm-3473676.out:Memory, Processes, 16, Rank, 11, vMem, 1047192 KB, pMem, 640188 KB
slurm-3473676.out:Memory, Processes, 16, Rank, 12, vMem, 1047432 KB, pMem, 640436 KB
slurm-3473676.out:Memory, Processes, 16, Rank, 13, vMem, 1048500 KB, pMem, 641500 KB
slurm-3473676.out:Memory, Processes, 16, Rank, 15, vMem, 1047224 KB, pMem, 640244 KB
slurm-3473676.out:Memory, Processes, 16, Rank, 1, vMem, 1048012 KB, pMem, 641064 KB
slurm-3473676.out:Memory, Processes, 16, Rank, 9, vMem, 1048172 KB, pMem, 641096 KB
slurm-3473677.out:Memory, Processes, 4, Rank, 2, vMem, 2626268 KB, pMem, 2253932 KB
slurm-3473677.out:Memory, Processes, 4, Rank, 0, vMem, 2593924 KB, pMem, 2221908 KB
slurm-3473677.out:Memory, Processes, 4, Rank, 1, vMem, 2625740 KB, pMem, 2253592 KB
slurm-3473677.out:Memory, Processes, 4, Rank, 3, vMem, 2624352 KB, pMem, 2252164 KB
slurm-3473678.out:Memory, Processes, 8, Rank, 0, vMem, 1561828 KB, pMem, 1179460 KB
slurm-3473678.out:Memory, Processes, 8, Rank, 2, vMem, 1561724 KB, pMem, 1179380 KB
slurm-3473678.out:Memory, Processes, 8, Rank, 6, vMem, 1563252 KB, pMem, 1180788 KB
slurm-3473678.out:Memory, Processes, 8, Rank, 4, vMem, 1562492 KB, pMem, 1179992 KB
slurm-3473678.out:Memory, Processes, 8, Rank, 1, vMem, 1565088 KB, pMem, 1182532 KB
slurm-3473678.out:Memory, Processes, 8, Rank, 5, vMem, 1563756 KB, pMem, 1183292 KB
slurm-3473678.out:Memory, Processes, 8, Rank, 7, vMem, 1562028 KB, pMem, 1179568 KB
slurm-3473678.out:Memory, Processes, 8, Rank, 3, vMem, 1563200 KB, pMem, 1180928 KB
slurm-3473679.out:Memory, Processes, 16, Rank, 1, vMem, 1031636 KB, pMem, 641152 KB
slurm-3473679.out:Memory, Processes, 16, Rank, 2, vMem, 1031920 KB, pMem, 643396 KB
slurm-3473679.out:Memory, Processes, 16, Rank, 3, vMem, 1033184 KB, pMem, 642624 KB
slurm-3473679.out:Memory, Processes, 16, Rank, 5, vMem, 1030844 KB, pMem, 640280 KB
slurm-3473679.out:Memory, Processes, 16, Rank, 6, vMem, 1033248 KB, pMem, 642764 KB
slurm-3473679.out:Memory, Processes, 16, Rank, 7, vMem, 1030852 KB, pMem, 640368 KB
slurm-3473679.out:Memory, Processes, 16, Rank, 9, vMem, 1031552 KB, pMem, 640876 KB
slurm-3473679.out:Memory, Processes, 16, Rank, 11, vMem, 1030776 KB, pMem, 640168 KB
slurm-3473679.out:Memory, Processes, 16, Rank, 10, vMem, 1033128 KB, pMem, 642428 KB
slurm-3473679.out:Memory, Processes, 16, Rank, 13, vMem, 1031964 KB, pMem, 641416 KB
slurm-3473679.out:Memory, Processes, 16, Rank, 14, vMem, 1031252 KB, pMem, 640684 KB
slurm-3473679.out:Memory, Processes, 16, Rank, 15, vMem, 1030980 KB, pMem, 640384 KB
slurm-3473679.out:Memory, Processes, 16, Rank, 8, vMem, 1031692 KB, pMem, 640972 KB
slurm-3473679.out:Memory, Processes, 16, Rank, 0, vMem, 1030324 KB, pMem, 639772 KB
slurm-3473679.out:Memory, Processes, 16, Rank, 4, vMem, 1031016 KB, pMem, 640528 KB
slurm-3473679.out:Memory, Processes, 16, Rank, 12, vMem, 1031192 KB, pMem, 640580 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 0, vMem, 775844 KB, pMem, 368976 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 2, vMem, 776160 KB, pMem, 368996 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 4, vMem, 776064 KB, pMem, 369120 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 6, vMem, 776512 KB, pMem, 369596 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 7, vMem, 776036 KB, pMem, 369184 KB
