slurm-3473618.out:Memory, Threads, 2, vMem, 8733124 KB, pMem, 6291052 KB
slurm-3473619.out:Memory, Threads, 4, vMem, 8804152 KB, pMem, 8747020 KB
slurm-3473620.out:Memory, Threads, 8, vMem, 9088040 KB, pMem, 8906932 KB
slurm-3473621.out:Memory, Threads, 16, vMem, 10161300 KB, pMem, 9179328 KB
slurm-3473623.out:Memory, Threads, 2, vMem, 8733124 KB, pMem, 6289880 KB
slurm-3473624.out:Memory, Threads, 4, vMem, 8804152 KB, pMem, 8747088 KB
slurm-3473625.out:Memory, Threads, 8, vMem, 9088040 KB, pMem, 8906928 KB
slurm-3473626.out:Memory, Threads, 16, vMem, 10161300 KB, pMem, 9179424 KB
slurm-3473628.out:Memory, Threads, 2, vMem, 8733124 KB, pMem, 6294020 KB
slurm-3473629.out:Memory, Threads, 4, vMem, 8804152 KB, pMem, 8747036 KB
slurm-3473630.out:Memory, Threads, 8, vMem, 9088040 KB, pMem, 8906984 KB
slurm-3473631.out:Memory, Threads, 16, vMem, 10161300 KB, pMem, 9179108 KB
slurm-3473633.out:Memory, Threads, 2, vMem, 8733124 KB, pMem, 6291612 KB
slurm-3473634.out:Memory, Threads, 4, vMem, 8804152 KB, pMem, 8747064 KB
slurm-3473635.out:Memory, Threads, 8, vMem, 9088040 KB, pMem, 8907080 KB
slurm-3473636.out:Memory, Threads, 16, vMem, 10161300 KB, pMem, 9179528 KB
