slurm-3473582.out:Memory, Threads, 2, vMem, 1787340 KB, pMem, 1691628 KB
slurm-3473583.out:Memory, Threads, 4, vMem, 2000340 KB, pMem, 1691568 KB
slurm-3473584.out:Memory, Threads, 8, vMem, 2295268 KB, pMem, 1691568 KB
slurm-3473585.out:Memory, Threads, 16, vMem, 2819588 KB, pMem, 1691628 KB
slurm-3473587.out:Memory, Threads, 2, vMem, 1787340 KB, pMem, 1691696 KB
slurm-3473588.out:Memory, Threads, 4, vMem, 2065876 KB, pMem, 1691568 KB
slurm-3473589.out:Memory, Threads, 8, vMem, 2295268 KB, pMem, 1691568 KB
slurm-3473590.out:Memory, Threads, 16, vMem, 2885124 KB, pMem, 1695792 KB
slurm-3473593.out:Memory, Threads, 2, vMem, 1721804 KB, pMem, 1691624 KB
slurm-3473594.out:Memory, Threads, 4, vMem, 2000340 KB, pMem, 1691568 KB
slurm-3473595.out:Memory, Threads, 8, vMem, 2295268 KB, pMem, 1691568 KB
slurm-3473596.out:Memory, Threads, 16, vMem, 2885124 KB, pMem, 1695724 KB
slurm-3473598.out:Memory, Threads, 2, vMem, 1787340 KB, pMem, 1691568 KB
slurm-3473599.out:Memory, Threads, 4, vMem, 1934804 KB, pMem, 1691628 KB
slurm-3473600.out:Memory, Threads, 8, vMem, 2295268 KB, pMem, 1691568 KB
slurm-3473601.out:Memory, Threads, 16, vMem, 2885124 KB, pMem, 1695720 KB
slurm-3473604.out:Memory, Threads, 2, vMem, 1787340 KB, pMem, 1691628 KB
slurm-3473606.out:Memory, Threads, 4, vMem, 2065876 KB, pMem, 1691628 KB
slurm-3473607.out:Memory, Threads, 8, vMem, 2295268 KB, pMem, 1691568 KB
slurm-3473608.out:Memory, Threads, 16, vMem, 2885124 KB, pMem, 1691832 KB
